지역,등급,순위S,순위B,권고유형,현행,인구수,분만건수,관내분만수행량,접근성취약인구비율,TRI,미충족분만,근거,불일치(심도),불일치(부담)
경상 울릉군,A,1,53,순회진료,기 지원,9077,21,0,100,0,21,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,하위-기지원
경상 청송군,A,1,33,순회진료,미지원,24019,61,0,100,0,61,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
경상 영양군,A,1,52,순회진료,기 지원,15661,31,0,100,0,31,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,하위-기지원
전라 진도군,A,4,26,순회진료,기 지원,28979,73,0,98.7,0,73,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
경상 영덕군,A,5,36,순회진료,미지원,34055,58,0,97.5,0,58,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,상위-미지원,
충청 보은군,A,6,30,순회진료,기 지원,31010,66,0,96.8,1.5,65,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
전라 완도군,A,7,10,순회진료,기 지원,46641,137,7,96.8,2.2,134,접근성 취약 · 이용률 취약,,
인천 옹진군,A,8,37,순회진료,기 지원,20377,54,0,95.1,1.9,53,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
강원 평창군,A,9,18,순회진료,미지원,40659,84,0,94.8,0,84,접근성 취약 · 이용률 취약 · 관내 수행 전무,상위-미지원,
강원 화천군,A,10,13,순회진료,기 지원,23007,128,0,94.1,0,128,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
강원 인제군,A,11,4,순회진료,기 지원,32020,198,0,90.7,0,198,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달 · 미충족 198건,,
경상 의령군,A,12,44,순회진료,미지원,25475,46,0,89.5,2.2,45,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,상위-미지원,
전라 장수군,A,13,42,순회진료,미지원,20983,51,0,87.2,2,50,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,상위-미지원,
경상 합천군,A,14,33,순회진료,기 지원,41203,63,0,85.2,3.2,61,접근성 취약 · 이용률 취약 · 관내 수행 전무,,
전라 신안군,A,15,22,순회진료,미지원,38037,84,0,84.8,7.1,78,접근성 취약 · 이용률 취약 · 관내 수행 전무,상위-미지원,
전라 진안군,A,16,31,순회진료,기 지원,24465,70,0,83.6,8.6,64,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
경기 양평군,A,17,1,분만 설치 검토,미지원,125238,374,0,82.6,3.7,360,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 미충족 360건,,상위-미지원
경상 남해군,A,18,25,순회진료,미지원,40780,74,0,82.4,0,74,접근성 취약 · 이용률 취약 · 관내 수행 전무,,
충청 괴산군,A,19,38,순회진료,기 지원,36590,54,0,75.1,3.7,52,접근성 취약 · 이용률 취약 · 관내 수행 전무,,
전라 보성군,A,20,47,순회진료,기 지원,37686,59,0,71.5,25.4,44,접근성 취약 · 이용률 취약 · 관내 수행 전무,,하위-기지원
충청 단양군,A,21,44,순회진료,기 지원,27701,54,0,65.3,16.7,45,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,하위-기지원
강원 정선군,A,22,21,순회진료,기 지원,34202,83,0,57.4,0,83,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
전라 무주군,A,23,44,순회진료,미지원,23251,45,0,51.1,0,45,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
경상 의성군,A,24,14,순회진료,기 지원,50086,131,0,42.4,6.9,122,접근성 취약 · 이용률 취약 · 관내 수행 전무,,
경상 청도군,A,25,23,순회진료,미지원,41316,94,0,35.5,20.2,75,접근성 취약 · 이용률 취약 · 관내 수행 전무,,
경기 연천군,A,26,8,순회진료,미지원,41584,141,0,32.1,0.7,140,접근성 취약 · 이용률 취약 · 관내 수행 전무,,상위-미지원
경상 산청군,A,27,50,순회진료,기 지원,33752,70,0,33.5,51.4,34,접근성 취약 · 관내 수행 전무 · 배경인구 미달,,하위-기지원
강원 홍천군,A,28,6,분만 설치 검토,미지원,67309,245,4,32.3,21.6,192,접근성 취약 · 이용률 취약 · 미충족 192건,,상위-미지원
경상 군위군,A,29,48,순회진료,미지원,22988,46,0,31.2,10.9,41,접근성 취약 · 이용률 취약 · 관내 수행 전무 · 배경인구 미달,,
경기 가평군,A,30,9,분만 설치 검토,미지원,62302,185,0,30.7,25.4,138,접근성 취약 · 이용률 취약 · 관내 수행 전무,,상위-미지원
